Package,Time (ms), Alpha, Original Set Size, Reduced Test Size, Mutation Loss, Set Size Reduction
test2,0m 0s 2,0,5,3,0.000,40.000
test2,0m 0s 1,5,5,3,0.000,40.000
test2,0m 0s 2,10,5,3,0.000,40.000
sample_ex,0m 0s 2,10,4,3,0.000,25.000
sample_ex,0m 0s 1,0,4,3,0.000,25.000
sample_ex,0m 0s 1,5,4,3,0.000,25.000
sample_ex,0m 0s 1,10,4,3,0.000,25.000
paper_test,0m 0s 2,0,7,3,0.000,57.143
paper_test,0m 0s 1,5,7,3,0.000,57.143
paper_test,0m 0s 1,10,7,3,0.000,57.143
paper_test,0m 0s 2,20,7,3,0.000,57.143
debug-new,0m 0s 531,0,4,1,0.000,75.000
debug-new,0m 0s 497,5,4,1,0.000,75.000
debug-new,0m 0s 499,10,4,1,0.000,75.000
uuid-new,0m 2s 888,0,17,9,0.000,47.059
uuid-new,0m 2s 891,10,17,9,0.000,47.059
uuid-new,0m 2s 925,5,17,9,0.000,47.059
body-parser-new,0m 2s 88,0,218,60,17.022,72.477
body-parser-new,0m 2s 188,5,218,119,0.000,45.413
body-parser-new,0m 1s 198,10,218,64,11.490,70.642
body-parser-old,0m 1s 312,0,204,54,11.984,73.529
body-parser-old,0m 1s 262,10,204,55,12.126,73.039
body-parser-old,0m 1s 8,5,204,95,2.426,53.431
async-new,0m 1s 65,15,511,58,19.076,88.650
async-new,0m 1s 67,10,511,58,19.076,88.650
express-new,0m 4s 940,10,858,126,15.172,85.315
express-new,0m 16s 105,5,858,142,7.832,83.450
async-new,0m 2s 579,5,511,61,13.648,88.063
cheerio-new,0m 4s 882,10,650,135,11.297,79.231
cheerio-new,0m 9s 169,5,650,145,5.356,77.692
cheerio-new,0m 49s 34,0,650,187,0.000,71.231
passport-new,0m 0s 395,10,494,71,12.357,85.628
passport-new,0m 0s 422,5,494,110,6.096,77.733
shortid-new,0m 0s 34,10,17,6,6.919,64.706
shortid-new,0m 0s 35,5,17,6,6.919,64.706
shortid-new,0m 0s 31,0,17,7,0.000,58.824
socket.io-new,0m 0s 212,0,126,21,4.762,83.333
socket.io-new,0m 0s 151,5,126,17,5.331,86.508
socket.io-new,0m 0s 159,10,126,15,5.686,88.095
express-new,0m 5s 619,10,858,126,15.172,85.315
express-new,0m 18s 836,5,858,143,7.487,83.333
body-parser-new,0m 2s 456,0,218,146,0.000,33.028
body-parser-new,0m 2s 43,0,218,157,0.000,27.982
body-parser-new,0m 9s 284,0,218,203,0.000,6.881
test2,0m 0s 14,0,5,100.000,100.000,3,0.000,40.000
test2,0m 0s 19,0,5,100.000,100.000,3,0.000,40.000
test2,0m 0s 18,0,5,100.000,100.000,3,0.000,40.000
test2,0m 0s 23,0,5,100.000,100.000,3,0.000,40.000
test2,0m 0s 16,0,5,100.000,100.000,3,0.000,40.000
test2,0m 0s 400,0,5,100.000,100.000,3,0.000,40.000
sample_ex,0m 0s 27,0,4,100.000,100.000,3,0.000,25.000
sample_ex,0m 0s 156,0,4,100.000,100.000,3,0.000,25.000
sample_ex,0m 0s 17,0,4,100.000,100.000,3,0.000,25.000
sample_ex,0m 0s 19,0,4,100.000,100.000,3,0.000,25.000
sample_ex,0m 0s 20,0,4,100.000,100.000,3,0.000,25.000
sample_ex,0m 0s 209,0,4,100.000,100.000,3,0.000,25.000
sample_ex,0m 0s 468,0,4,100.000,100.000,3,0.000,25.000
sample_ex,0m 0s 405,0,4,100.000,100.000,3,0.000,25.000
sample_ex,0m 0s 424,0,4,100.000,100.000,3,0.000,25.000
body-parser-new,0m 5s 371,0,218,79.303,70.191,60,11.490,72.477
body-parser-new,0m 3s 936,0,218,79.303,65.804,60,17.022,72.477
body-parser-new,0m 4s 953,0,218,79.303,65.804,60,17.022,72.477
body-parser-new,0m 5s 518,0,218,79.303,65.804,60,17.022,72.477
body-parser-new,0m 2s 487,0,218,79.303,57.593,38,27.376,82.569
body-parser-new,0m 5s 980,0,218,79.303,70.191,60,11.490,72.477
body-parser-new,0m 2s 858,0,218,79.303,70.191,60,11.490,72.477
uuid-new,0m 3s 966,0,17,92.061,92.061,9,0.000,47.059
body-parser-new,0m 1s 980,0,218,79.303,65.804,60,17.022,72.477
body-parser-new,0m 2s 314,0,218,79.303,65.804,60,17.022,72.477
body-parser-new,0m 2s 212,0,218,79.303,70.191,60,11.490,72.477
body-parser-new,0m 1s 774,0,218,79.303,65.804,60,17.022,72.477
async-new,0m 5s 306,0,511,35.286,35.032,101,0.720,80.235
cheerio-new,0m 8s 113,0,650,83.537,83.537,187,0.000,71.231
passport-new,0m 1s 692,0,494,79.974,70.224,78,12.191,84.211
passport-new,0m 1s 666,0,494,79.974,72.200,78,9.721,84.211
passport-new,0m 1s 674,0,494,79.974,72.859,78,8.897,84.211
passport-new,0m 1s 871,0,494,79.974,72.727,78,9.062,84.211
passport-new,0m 2s 177,0,494,79.974,70.092,79,12.357,84.008
cheerio-new,0m 8s 933,0,650,83.537,83.537,187,0.000,71.231
async-new,0m 4s 992,0,511,35.286,34.976,102,0.879,80.039
async-new,0m 5s 280,0,511,35.286,35.004,101,0.799,80.235
async-new,0m 5s 306,0,511,35.286,35.032,102,0.720,80.039
passport-new,0m 1s 880,0,494,79.974,75.626,79,5.437,84.008
body-parser-new,0m 2s 380,0,218,79.303,65.804,60,17.022,72.477
test3,0m 0s 95,0,6,100.000,100.000,3,0.000,50.000
test3,0m 0s 29,0,6,100.000,100.000,3,0.000,50.000
test3,0m 0s 50,0,6,100.000,100.000,3,0.000,50.000
test3,0m 0s 61,0,6,100.000,100.000,3,0.000,50.000
test3,0m 0s 261,0,6,100.000,100.000,3,0.000,50.000
test3,0m 0s 35,0,6,100.000,100.000,3,0.000,50.000
test3,0m 0s 284,0,6,100.000,100.000,3,0.000,50.000
test3,0m 0s 32,0,6,100.000,100.000,3,0.000,50.000
test3,0m 0s 30,0,6,100.000,100.000,3,0.000,50.000
test3,0m 0s 25,0,6,100.000,100.000,3,0.000,50.000
test3,0m 0s 31,0,6,100.000,100.000,3,0.000,50.000
test3,0m 0s 459,0,6,100.000,100.000,3,0.000,50.000
body-parser-new,0m 2s 239,0,218,79.303,65.804,60,17.022,72.477
body-parser-new,0m 2s 576,0,218,79.303,70.191,60,11.490,72.477
body-parser-new,0m 2s 116,0,218,79.303,65.804,60,17.022,72.477
body-parser-new,0m 2s 578,0,218,79.303,70.191,60,11.490,72.477
body-parser-new,0m 2s 306,0,218,153,0.000,29.817
body-parser-new,0m 1s 646,0,218,103,0.000,52.752
body-parser-new,0m 1s 787,0,218,133,0.000,38.991
body-parser-new,0m 1s 778,0,218,154,0.000,29.358
body-parser-new,0m 2s 324,0,218,165,0.000,24.312
body-parser-new,0m 2s 282,0,218,97,0.000,55.505
body-parser-new,0m 2s 655,0,218,158,0.000,27.523
body-parser-new,0m 1s 547,0,218,163,0.000,25.229
body-parser-new,0m 2s 160,0,218,98,0.000,55.046
body-parser-new,0m 3s 168,0,218,177,0.000,18.807
